,Unnamed: 0,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc.1,sub_avg
44,45,7aa3d6964eff4877,Alex Caceres,18,12,0,1,"5'10""",145,"73""",Southpaw,6/20/1988,4.1,50%,2.82,65%,0.57,78%,64%,78%,0.8
45,46,26b63bc5c0c1f65d,Alex Chambers,5,5,0,0,"5'3""",115,"63""",Southpaw,10/25/1978,2.97,54%,5.1,50%,2.31,41%,53%,41%,1.0
46,47,c3ded6f7155f9ea4,Alex Da Silva,21,3,0,0,"5'8""",155,"73""",Orthodox,2/04/1996,2.07,46%,2.65,55%,2.75,43%,77%,43%,0.4
47,48,a2b12c3f3d60ff69,Alex Garcia,15,6,0,0,"5'9""",170,"72""",Orthodox,7/14/1987,1.81,31%,3.03,59%,3.72,52%,66%,52%,0.1
48,49,803bebcfb6d6f506,Alex Gorgees,6,1,0,0,"6'2""",155,"74""",Switch,8/11/1995,0.67,32%,2.27,38%,0.0,0%,54%,0%,0.0
50,51,e361e5c858af6ff1,Alex Karalexis,10,6,0,0,"5'8""",155,"66""",Orthodox,9/20/1977,2.57,42%,2.39,54%,2.7,45%,86%,45%,0.9
51,52,cdb96af67d096b1e,Alex Morono,18,7,0,1,"5'11""",170,"72""",Orthodox,8/16/1990,4.96,42%,3.69,56%,0.44,28%,47%,28%,0.4
52,53,2b6d855c6e280fb1,Alex Nicholson,7,4,0,0,"6'4""",185,"77""",Orthodox,5/02/1990,4.12,43%,4.65,47%,0.0,0%,50%,0%,0.5
53,54,57b10fca4f9c9a7a,Alex Oliveira,22,9,1,2,"5'11""",170,"76""",Orthodox,2/21/1988,2.87,50%,2.18,48%,2.41,37%,63%,37%,0.6
54,55,ab2b4ff41d6ebe0f,Alex Perez,24,6,0,0,"5'6""",125,"65""",Orthodox,3/21/1992,4.62,47%,3.08,61%,2.92,45%,87%,45%,1.3
55,56,dc07493a87dc0a6e,Alex Reyes,13,3,0,0,"5'11""",170,"73""",Orthodox,10/02/1986,4.56,46%,8.35,38%,0.0,0%,0%,0%,0.0
61,62,c17041f1bb5768d8,Alex White,13,6,0,0,"6'0""",155,"71""",Southpaw,10/22/1988,3.76,42%,3.07,60%,0.92,28%,71%,28%,0.5
62,63,e8b731feff72294b,Alexa Grasso,13,3,0,0,"5'5""",125,"66""",Orthodox,8/09/1993,4.96,43%,3.61,64%,0.28,40%,60%,40%,0.6
63,64,3c6976f8182d9527,Alexander Gustafsson,18,7,0,0,"6'5""",205,"79""",Orthodox,1/15/1987,4.02,40%,3.42,51%,1.54,39%,83%,39%,0.4
64,65,262a7d06203657e6,Alexander Hernandez,12,4,0,0,"5'9""",155,"72""",Orthodox,10/01/1992,3.57,35%,3.81,59%,1.6,38%,62%,38%,0.0
65,66,f8f1ec513bcfef43,Alexander Munoz,6,1,0,0,"5'9""",155,"72""",Switch,2/27/1990,3.27,40%,5.23,52%,2.5,35%,0%,35%,0.0
66,67,e1248941344b3288,Alexander Volkanovski,22,1,0,0,"5'6""",145,"71""",Orthodox,9/29/1988,6.02,55%,3.31,60%,2.09,34%,72%,34%,0.3
67,68,279566840aa55bf2,Alexander Volkov,33,8,0,0,"6'7""",250,"80""",Orthodox,10/24/1988,4.88,59%,2.48,56%,0.66,70%,66%,70%,0.2
68,69,d06f8869449ba7bd,Alexander Yakovlev,24,10,1,0,"6'3""",155,"74""",Southpaw,7/18/1984,1.74,47%,2.41,58%,1.66,35%,72%,35%,0.1
69,70,c0badf3243907e59,Alexandr Romanov,13,0,0,0,"6'2""",262,"75""",Southpaw,12/11/1990,4.31,39%,1.76,43%,6.35,66%,0%,66%,3.2
73,74,a0f0004aadf10b71,Alexandre Pantoja,23,5,0,0,"5'5""",125,"67""",Orthodox,4/16/1990,4.3,47%,3.39,53%,0.94,35%,68%,35%,0.9
74,75,4c2d90e335e6df19,Alexis Davis,20,10,0,0,"5'6""",135,"68""",Orthodox,10/04/1984,4.18,47%,4.18,55%,0.94,40%,34%,40%,0.8
76,77,e87a13e02c01331d,Ali AlQaisi,8,5,0,0,"5'6""",135,"68""",Orthodox,9/23/1990,2.43,42%,1.97,56%,3.5,29%,60%,29%,1.0
77,78,3dd92ff9fb0412b3,Ali Bagautinov,15,6,0,0,"5'4""",125,"65""",Orthodox,6/10/1985,2.85,42%,3.09,52%,2.51,36%,65%,36%,0.3
78,79,b4ad3a06ee4d660c,Alistair Overeem,47,19,0,1,"6'4""",265,"80""",Orthodox,5/17/1980,3.67,64%,2.44,57%,1.42,55%,73%,55%,0.8
79,80,cb696ebfb6598724,Aljamain Sterling,20,3,0,0,"5'7""",135,"71""",Orthodox,7/31/1989,4.84,49%,2.2,63%,1.77,24%,41%,24%,0.9
81,82,523af801b3429015,Allan Zuniga,13,1,0,0,"5'7""",155,"70""",Orthodox,4/04/1992,3.93,52%,1.8,61%,0.0,0%,57%,0%,1.0
83,84,a9d6e047ce48ab63,Allen Crowder,10,4,0,1,"6'3""",245,"76""",Orthodox,11/08/1989,2.95,51%,2.95,56%,1.85,33%,100%,33%,1.2
84,85,a495f599e787614f,Alonzo Menifield,9,2,0,0,"6'0""",205,"76""",Orthodox,10/18/1987,3.34,47%,3.72,45%,0.0,0%,85%,0%,0.0
85,86,e18a19001a3f7c7d,Alptekin Ozkilic,9,5,0,0,"5'5""",125,"65""",Orthodox,3/27/1986,3.81,32%,5.72,59%,4.21,58%,75%,58%,0.0
86,87,74d35fbc9c6a61bd,Alvaro Herrera Mendoza,9,6,0,0,"6'0""",155,"74""",Orthodox,5/14/1990,1.89,38%,3.4,55%,0.0,0%,33%,0%,1.1
87,88,cbe79765d44bd172,Alvin Robinson,15,9,0,0,"5'9""",155,"68""",Southpaw,7/16/1982,1.57,50%,1.29,51%,1.24,50%,25%,50%,1.2
88,89,d4a31850a7457f1b,Amanda Cooper,3,5,0,0,"5'3""",115,"64""",Switch,10/22/1991,3.55,44%,3.2,51%,1.53,38%,28%,38%,1.8
89,90,3df5493bb279226f,Amanda Lemos,9,1,1,0,"5'4""",115,"65""",Southpaw,5/22/1987,6.21,64%,5.39,45%,1.98,100%,100%,100%,0.5
90,91,80fa8218c99f9c58,Amanda Nunes,21,4,0,0,"5'8""",145,"69""",Orthodox,5/30/1988,4.5,51%,2.45,57%,2.5,53%,84%,53%,0.9
91,92,beecb672a279223e,Amanda Ribas,10,2,0,0,"5'3""",125,"66""",Orthodox,8/26/1993,4.25,44%,1.78,71%,2.31,58%,85%,58%,1.6
95,96,6d35bf94f7d30241,Amir Albazi,14,1,0,0,"5'5""",125,"68""",Orthodox,10/27/1993,4.06,40%,3.15,58%,2.28,75%,66%,75%,0.8
96,97,2650e2f846a30f64,Amir Sadollah,6,5,0,0,"5'10""",170,"75""",Orthodox,8/27/1980,4.71,46%,3.55,60%,0.57,27%,60%,27%,0.3
97,98,bbc9ab95fa766493,Anderson Dos Santos,21,8,0,0,"5'5""",135,"70""",Orthodox,7/24/1985,2.66,28%,4.8,55%,1.3,18%,66%,18%,0.9
98,99,1f454354805b6f75,Anderson Silva,34,11,0,1,"6'2""",185,"77""",Southpaw,4/14/1975,3.05,61%,2.05,60%,0.5,77%,69%,77%,0.8
99,100,5f6f049d54728e88,Andre Ewell,17,7,0,0,"5'8""",135,"75""",Southpaw,1/21/1988,4.42,41%,4.25,52%,0.29,66%,70%,66%,0.1
100,101,8fd808923cffff82,Andre Fili,21,8,0,0,"5'11""",145,"74""",Orthodox,6/25/1990,3.73,36%,3.9,52%,2.5,49%,64%,49%,0.2
102,103,886264a0c9f4ea5e,Andre Muniz,20,4,0,0,"6'1""",185,"78""",Southpaw,2/17/1990,2.21,58%,1.8,45%,2.61,35%,37%,35%,2.2
105,106,d0e50a3d1b250708,Andre Soukhamthath,13,8,0,0,"5'9""",135,"70""",Orthodox,10/23/1988,2.77,44%,4.31,49%,1.25,53%,58%,53%,0.2
106,107,b45d6b73f4ca4467,Andre Winner,21,11,2,0,"5'11""",155,"73""",Orthodox,11/09/1981,2.52,33%,4.57,51%,0.0,0%,74%,0%,0.0
107,108,05fa626cb33d15b8,Andrea Lee,11,5,0,0,"5'6""",125,"69""",Orthodox,2/11/1989,5.58,49%,3.83,65%,1.67,45%,57%,45%,0.5
108,109,79325a3c1a5c3bf4,Andreas Michailidis,12,4,0,0,"6'0""",185,"76""",Orthodox,7/18/1988,4.6,50%,3.6,63%,0.0,0%,0%,0%,0.0
110,111,3738e68d2261e60f,Andrei Arlovski,30,20,0,2,"6'3""",240,"77""",Orthodox,2/04/1979,3.48,44%,2.83,57%,0.47,36%,78%,36%,0.3
112,113,8a70ceb3edbe757b,Andrew Craig,9,4,0,0,"6'1""",170,"76""",Orthodox,1/15/1986,2.39,40%,3.01,50%,0.53,37%,72%,37%,0.0
113,114,66ab58d0b3783607,Andrew Holbrook,12,3,0,0,"5'11""",155,"70""",Southpaw,2/06/1986,2.2,49%,3.0,54%,0.85,18%,10%,18%,2.1
114,115,fccf811c1e8b01c7,Andrew Sanchez,13,6,0,0,"6'1""",185,"74""",Orthodox,4/08/1988,4.48,42%,5.05,51%,1.92,31%,100%,31%,0.0
115,116,993d385f5a475375,Andy Enz,10,4,0,0,"6'3""",185,"78""",Orthodox,8/15/1991,3.51,23%,5.32,57%,0.0,0%,58%,0%,0.0
116,117,b6c4451cb13c9303,Andy Ogle,9,6,0,0,"5'8""",145,"69""",Orthodox,2/16/1989,2.24,44%,2.23,50%,1.44,26%,58%,26%,0.0
118,119,f0feeb2192937424,Angela Hill,13,9,0,0,"5'3""",115,"64""",Orthodox,1/12/1985,5.66,50%,4.98,64%,0.45,36%,76%,36%,0.1
119,120,bd878a638e0e3be3,Angela Magana,11,9,0,0,"5'1""",115,"65""",Orthodox,8/02/1983,1.53,28%,4.92,42%,0.4,25%,28%,25%,0.4
123,124,c5a126ace82a6025,Anthony Birchak,16,7,0,0,"5'8""",135,"69""",Orthodox,5/16/1986,4.23,36%,3.06,60%,0.6,16%,73%,16%,0.0
125,126,c727c7d31c50c4cf,Anthony Hamilton,15,9,0,0,"6'5""",260,"76""",Orthodox,4/14/1980,3.91,65%,3.02,45%,2.62,42%,78%,42%,0.0
126,127,093e1f5bb73850be,Anthony Hernandez,8,2,0,1,"6'0""",185,"75""",Orthodox,10/18/1993,4.92,55%,5.09,47%,3.76,66%,70%,66%,1.9
127,128,3c5005b66696d790,Anthony Ivy,8,4,0,0,"6'2""",185,"74""",Orthodox,1/23/1990,2.5,42%,4.57,51%,4.69,20%,100%,20%,0.0
128,129,365fee2da473b177,Anthony Johnson,22,6,0,0,"6'2""",205,"78""",Orthodox,3/06/1984,3.25,47%,1.83,60%,2.43,57%,77%,57%,0.6
131,132,6bf5a7d3e081ade2,Anthony Njokuani,16,12,0,1,"6'1""",155,"75""",Orthodox,3/01/1980,3.94,46%,2.41,65%,0.5,45%,53%,45%,0.2
132,133,4b4753d19489297f,Anthony Perosh,15,10,0,0,"6'3""",205,"75""",Orthodox,10/05/1972,2.27,43%,3.77,53%,2.03,22%,33%,22%,1.1
133,134,cbb682f5fcc44bfc,Anthony Pettis,24,10,0,0,"5'10""",155,"72""",Orthodox,1/27/1987,3.05,47%,3.44,54%,0.61,50%,60%,50%,1.1
134,135,5331b25a60417ffb,Anthony Rocco Martin,17,6,0,0,"6'0""",170,"73""",Orthodox,12/11/1989,2.68,37%,2.59,58%,0.71,27%,68%,27%,1.0
135,136,d4c9dcd330403612,Anthony Smith,34,16,0,0,"6'4""",205,"76""",Orthodox,7/26/1988,2.94,46%,4.38,42%,0.49,28%,51%,28%,0.7
137,138,706f8e2b34e8e18b,Anton Kuivanen,24,10,0,0,"5'8""",155,"72""",Orthodox,5/01/1984,2.27,38%,1.63,67%,1.2,100%,71%,100%,0.4
139,140,69b69c0178c4004d,Antoni Hardonk,8,6,0,0,"6'4""",245,"78""",Orthodox,2/05/1976,3.4,61%,3.07,46%,0.0,0%,40%,0%,0.9
140,141,d7338bcb141abd2c,Antonina Shevchenko,9,2,0,0,"5'8""",125,"67""",Southpaw,11/20/1984,4.09,56%,2.51,54%,0.65,60%,56%,60%,0.7
141,142,61fb8098ccf81c7f,Antonio Arroyo,9,4,0,0,"6'3""",185,"73""",Orthodox,7/01/1989,3.08,70%,1.72,44%,1.4,41%,32%,41%,0.3
142,143,9ddfb3369a3b0394,Antonio Banuelos,20,11,1,0,"5'5""",135,"63""",Orthodox,9/23/1979,2.69,33%,3.15,58%,1.62,62%,86%,62%,0.4
143,144,fae67903c4fe636b,Antonio Braga Neto,9,3,0,1,"6'3""",185,"77""",Orthodox,10/29/1987,1.36,33%,3.92,45%,3.07,37%,0%,37%,0.5
144,145,52e76bb4b3e852f3,Antonio Carlos Junior,11,5,0,1,"6'2""",185,"79""",Orthodox,3/16/1990,1.95,42%,2.14,52%,3.42,39%,53%,39%,0.8
145,146,fef3d17e27e916e7,Antonio Carvalho,15,6,0,0,"5'9""",145,"70""",Orthodox,5/30/1979,3.03,29%,3.62,64%,0.0,0%,100%,0%,0.0
148,149,3795fca327cbcf23,Antonio Mendes,18,13,0,0,"6'3""",205,"77""",Southpaw,4/19/1981,1.34,47%,6.85,22%,2.51,50%,100%,50%,0.0
149,150,ee9d73f4fee9cbdd,Antonio Rodrigo Nogueira,34,10,1,1,"6'3""",240,"77""",Orthodox,6/02/1976,1.95,42%,2.4,55%,1.3,29%,36%,29%,2.4
150,151,8349d55cdecd393a,Antonio Silva,19,12,1,0,"6'4""",264,"82""",Orthodox,9/14/1979,2.89,45%,3.09,50%,0.82,29%,66%,29%,0.8
152,153,c0d5c0c95c59050b,Ariane Carnelossi,12,2,0,0,"5'2""",115,"61""",Orthodox,11/17/1992,6.03,38%,7.71,50%,0.0,0%,0%,0%,0.0
153,154,6551c64fbcd1a467,Ariane Lipski,13,6,0,0,"5'6""",125,"67""",Orthodox,1/26/1994,3.03,32%,4.45,48%,0.27,25%,45%,25%,0.5
154,155,b96939f2b8d88e82,Ariel Beck,4,5,0,0,"5'6""",125,"66""",Southpaw,9/16/1990,4.44,34%,4.31,64%,0.0,0%,0%,0%,0.0
155,156,7e511f8d842a109d,Arjan Bhullar,9,1,0,0,"6'1""",245,"75""",Orthodox,5/13/1986,2.33,56%,3.25,59%,1.73,75%,100%,75%,0.0
156,157,eae48ff31db420c2,Arman Tsarukyan,16,2,0,0,"5'7""",155,"72""",Orthodox,10/11/1996,3.35,44%,1.43,62%,3.5,35%,78%,35%,0.0
157,158,040a74bb0a465c54,Arnold Allen,16,1,0,0,"5'8""",145,"70""",Southpaw,1/22/1994,3.19,41%,2.0,67%,1.36,52%,76%,52%,0.5
158,159,02f2a9702ba3d167,Artem Lobov,13,15,1,1,"5'9""",145,"65""",Southpaw,8/11/1986,3.52,41%,4.82,50%,0.39,25%,52%,25%,0.0
159,160,e9bc5748e6a76bb6,Ashkan Mokhtarian,13,3,0,0,"5'6""",125,"67""",Southpaw,9/15/1985,1.95,43%,3.66,43%,0.54,16%,33%,16%,0.0
160,161,fc6e681bf6658faf,Ashlee Evans-Smith,6,5,0,0,"5'8""",135,"67""",Orthodox,7/09/1987,4.54,34%,4.69,55%,1.1,23%,66%,23%,0.0
161,162,b4c6c904a9ffc5e8,Ashley Yoder,8,7,0,0,"5'7""",115,"69""",Southpaw,10/20/1987,2.75,39%,3.53,46%,1.33,37%,68%,37%,0.7
162,163,b1d19449397541dc,Askar Askarov,13,0,1,0,"5'6""",125,"67""",Orthodox,10/09/1992,3.37,55%,2.65,56%,2.75,28%,64%,28%,0.0
163,164,d4691518d012b9e7,Aspen Ladd,9,1,0,0,"5'6""",135,"66""",Orthodox,3/01/1995,5.22,55%,4.84,46%,2.45,75%,66%,75%,1.2
165,166,3d5b1ce6097dbb49,Augusto Mendes,6,2,0,0,"5'6""",135,"65""",Orthodox,3/03/1983,2.42,34%,3.91,56%,1.75,33%,80%,33%,0.0
166,167,94508d80e1f885fc,Augusto Montano,15,3,0,0,"6'1""",170,"73""",Orthodox,10/25/1984,3.46,46%,2.66,56%,0.0,0%,66%,0%,0.0
167,168,441eacbe20e0e80b,Augusto Sakai,15,2,1,0,"6'3""",265,"77""",Orthodox,5/09/1991,5.32,48%,4.02,50%,0.15,50%,66%,50%,0.0
168,169,bf0e700106d00e55,Austin Arnett,16,6,0,0,"6'0""",145,"72""",Orthodox,10/22/1991,4.52,41%,6.38,62%,0.44,18%,57%,18%,0.2
169,170,d2cd7a69cc55e7ed,Austin Hubbard,12,5,0,0,"5'10""",155,"71""",Orthodox,12/22/1991,3.45,48%,2.58,58%,0.76,60%,53%,60%,0.0
170,171,305d73ede05e31ad,Austin Lingo,8,1,0,0,"5'10""",145,"70""",Orthodox,7/10/1994,3.57,44%,3.17,62%,1.0,66%,76%,66%,0.0
171,172,37cc294027f55e4d,Austin Springer,12,4,0,0,"5'8""",145,"71""",Orthodox,5/12/1987,3.54,57%,3.15,41%,3.37,40%,100%,40%,0.8
174,175,73c7cfa551289285,BJ Penn,16,14,2,0,"5'9""",155,"70""",Orthodox,12/13/1978,2.76,48%,3.2,56%,1.19,55%,74%,55%,0.5
175,176,472f6f6e6d962f40,Barb Honchak,10,4,0,0,"5'4""",125,"65""",Orthodox,8/30/1979,4.04,30%,4.67,66%,0.0,0%,0%,0%,1.3
176,177,4304992c2acc187b,Bart Palaszewski,36,17,0,0,"5'9""",145,"70""",Orthodox,5/30/1983,2.67,32%,3.97,57%,0.65,31%,53%,31%,0.5
177,178,e17ac6410c8377f4,Bartosz Fabinski,15,4,0,0,"6'0""",170,"75""",Orthodox,4/26/1986,2.2,69%,1.35,53%,7.08,69%,80%,69%,0.0
179,180,3b0a516d2921e0d6,Batgerel Danaa,7,2,0,0,"5'7""",135,"70""",Orthodox,7/04/1989,5.66,38%,2.61,58%,0.0,0%,57%,0%,0.0
180,181,b60c980f79b87ce8,Bea Malecki,4,0,0,0,"5'9""",135,"74""",Orthodox,8/23/1991,6.78,46%,6.14,62%,0.0,0%,78%,0%,1.4
181,182,907e60fd13407e1e,Bec Rawlings,7,8,0,0,"5'6""",125,"64""",Orthodox,2/11/1989,4.48,42%,5.66,57%,0.71,40%,68%,40%,0.4
182,183,b1b0729d27936f2f,Belal Muhammad,18,3,0,1,"5'11""",170,"72""",Orthodox,7/09/1988,4.75,43%,4.02,60%,1.97,28%,85%,28%,0.2
183,184,c4fe2e9a06ea5bcb,Ben Alloway,18,8,0,0,"5'11""",170,"76""",Orthodox,2/19/1981,1.28,49%,1.9,59%,0.62,50%,26%,50%,0.0
184,185,0b31f87be71ebbb1,Ben Askren,19,2,0,1,"5'11""",170,"73""",Orthodox,7/18/1984,3.64,49%,5.66,36%,4.33,55%,0%,55%,0.9
186,187,840d2c82ea68b9aa,Ben Nguyen,16,8,0,0,"5'5""",125,"65""",Switch,8/03/1988,3.51,40%,3.01,59%,0.25,33%,63%,33%,1.0
187,188,bd58d34e39b7b12a,Ben Rothwell,38,13,0,0,"6'4""",265,"78""",Orthodox,10/17/1981,3.55,41%,4.57,46%,0.63,33%,69%,33%,0.3
188,189,484acc7b0f856ce9,Ben Saunders,22,13,2,0,"6'2""",170,"77""",Orthodox,4/13/1983,3.23,50%,3.58,51%,0.2,40%,66%,40%,1.3
189,190,326f94d6cfb1bf25,Ben Sosoli,7,3,0,2,"6'0""",265,"72""",Southpaw,12/10/1989,2.31,31%,4.3,47%,0.0,0%,0%,0%,0.0
191,192,08af939f41b5a57b,Beneil Dariush,20,4,1,0,"5'10""",155,"72""",Southpaw,5/06/1989,4.0,49%,2.72,59%,2.03,32%,81%,32%,1.0
192,193,773f7feacf96153e,Benito Lopez,10,1,0,0,"5'10""",135,"73""",Switch,4/06/1994,4.49,44%,4.8,58%,0.0,0%,78%,0%,0.3
194,195,2676b28836a5a836,Benson Henderson,24,7,0,0,"5'9""",170,"70""",Southpaw,11/16/1983,2.93,45%,1.79,63%,2.4,45%,63%,45%,0.8
198,199,673ea7dcc786b1b3,Bethe Correia,11,5,1,0,"5'5""",135,"64""",Orthodox,6/22/1983,4.39,44%,4.56,58%,0.44,20%,84%,20%,0.0
199,200,899923ff6ab13917,Bevon Lewis,7,3,0,0,"6'3""",185,"79""",Orthodox,5/05/1991,3.73,43%,2.67,54%,0.0,0%,66%,0%,0.0
200,201,efd2b3e9bb7965a4,Bharat Kandare,5,3,0,0,"5'7""",135,"72""",Orthodox,6/20/1987,0.7,10%,1.88,72%,0.0,0%,0%,0%,0.0
201,202,87f19d19f4cb73f8,Bibulatov Magomed,14,2,0,0,"5'5""",125,"65""",Orthodox,8/22/1988,3.6,51%,1.83,52%,2.85,40%,75%,40%,0.0
202,203,9abc648e76c4493a,Bill Algeo,14,5,0,0,"6'0""",145,"73""",Switch,6/09/1989,6.8,56%,5.31,38%,0.67,33%,62%,33%,0.0
205,206,aa171d55d4b5208f,Billy Quarantillo,15,3,0,0,"5'10""",145,"70""",Orthodox,12/08/1988,7.03,64%,4.37,42%,1.28,31%,57%,31%,1.8
